Tournament,Date,Team_1,Team_2,Score_1,Score_2
Mixed Imperial 2024,2024-03-24,Thundering Herd 1,SOLENT Blue,10,9
Mixed Imperial 2024,2024-03-24,Thundering Herd 1,SOLENT White,15,7
Uni Fans 2024,2024-04-13,Big Fish Little Fish,Black Sheep,10,8
Uni Fans 2024,2024-04-13,Big Fish Little Fish,Zoo,8,3
Uni Fans 2024,2024-04-13,Black Sheep,Zoo,10,4
Uni Fans 2024,2024-04-13,Bristol Mixed,Sheffield Steal,11,5
Uni Fans 2024,2024-04-13,Brixton,Flyght Mixed 2,8,7
Uni Fans 2024,2024-04-13,Brixton,Thundering Herd 2,9,5
Uni Fans 2024,2024-04-13,Flyght Mixed,Contested 1,9,8
Uni Fans 2024,2024-04-13,Flyght Mixed,SOLENT,10,9
Uni Fans 2024,2024-04-13,Flyght Mixed 2,LLLeeds,8,5
Uni Fans 2024,2024-04-13,Flyght Mixed 2,Thundering Herd 2,7,4
Uni Fans 2024,2024-04-13,Heck,Bristol Mixed,7,5
Uni Fans 2024,2024-04-13,Heck,Sheffield Steal,9,8
Uni Fans 2024,2024-04-13,Heck,Thundering Herd 1,7,6
Uni Fans 2024,2024-04-13,LLLeeds,Brixton,8,4
Uni Fans 2024,2024-04-13,Lemmings 1,Contested 1,13,5
Uni Fans 2024,2024-04-13,Lemmings 1,Flyght Mixed,12,7
Uni Fans 2024,2024-04-13,Lemmings 1,SOLENT,13,4
Uni Fans 2024,2024-04-13,Newcastle Brown,Big Fish Little Fish,10,6
Uni Fans 2024,2024-04-13,Newcastle Brown,Black Sheep,12,7
Uni Fans 2024,2024-04-13,Newcastle Brown,Zoo,10,7
Uni Fans 2024,2024-04-13,SOLENT,Contested 1,9,5
Uni Fans 2024,2024-04-13,Thundering Herd 1,Bristol Mixed,13,7
Uni Fans 2024,2024-04-13,Thundering Herd 1,Sheffield Steal,10,7
Uni Fans 2024,2024-04-13,Thundering Herd 2,LLLeeds,8,4
Uni Fans 2024,2024-04-14,Bristol Mixed,Big Fish Little Fish,12,4
Uni Fans 2024,2024-04-14,Bristol Mixed,Brixton,13,4
Uni Fans 2024,2024-04-14,Brixton,Contested 1,10,9
Uni Fans 2024,2024-04-14,Brixton,Sheffield Steal,8,6
Uni Fans 2024,2024-04-14,Contested 1,Big Fish Little Fish,9,8
Uni Fans 2024,2024-04-14,Flyght Mixed,Heck,12,7
Uni Fans 2024,2024-04-14,Flyght Mixed 2,Big Fish Little Fish,9,8
Uni Fans 2024,2024-04-14,LLLeeds,Black Sheep,15,11
Uni Fans 2024,2024-04-14,LLLeeds,Thundering Herd 2,8,7
Uni Fans 2024,2024-04-14,Lemmings 1,Flyght Mixed,10,8
Uni Fans 2024,2024-04-14,Lemmings 1,Thundering Herd 1,12,11
Uni Fans 2024,2024-04-14,Newcastle Brown,Contested 1,11,10
Uni Fans 2024,2024-04-14,Newcastle Brown,Flyght Mixed 2,10,7
Uni Fans 2024,2024-04-14,SOLENT,Bristol Mixed,12,9
Uni Fans 2024,2024-04-14,SOLENT,Flyght Mixed 2,9,8
Uni Fans 2024,2024-04-14,SOLENT,Sheffield Steal,9,6
Uni Fans 2024,2024-04-14,Sheffield Steal,Newcastle Brown,8,7
Uni Fans 2024,2024-04-14,Thundering Herd 1,Heck,13,8
Uni Fans 2024,2024-04-14,Thundering Herd 2,Zoo,11,7
Uni Fans 2024,2024-04-14,Zoo,Black Sheep,12,10
Manchester Mayhem 2024,2024-05-11,Big Fish Little Fish,Black Sheep's Back,15,6
Manchester Mayhem 2024,2024-05-11,Big Fish Little Fish,Curve,14,3
Manchester Mayhem 2024,2024-05-11,Big Fish Little Fish,Mamak Ultimate,13,9
Manchester Mayhem 2024,2024-05-11,Black Sheep's Back,Curve,14,6
Manchester Mayhem 2024,2024-05-11,Black Sheep's Front,Red,14,7
Manchester Mayhem 2024,2024-05-11,Contested 1,Heck,12,10
Manchester Mayhem 2024,2024-05-11,Flyght Mixed,GUXYZ,13,12
Manchester Mayhem 2024,2024-05-11,Flyght Mixed,Newcastle Brown,13,12
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Black Sheep's Front,13,10
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Muntjacs Ultimate,13,11
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Red,15,5
Manchester Mayhem 2024,2024-05-11,Mamak Ultimate,Black Sheep's Back,12,9
Manchester Mayhem 2024,2024-05-11,Mamak Ultimate,Curve,12,9
Manchester Mayhem 2024,2024-05-11,Muntjacs Ultimate,Black Sheep's Front,12,8
Manchester Mayhem 2024,2024-05-11,Muntjacs Ultimate,Red,10,3
Manchester Mayhem 2024,2024-05-11,Newcastle Brown,GUXYZ,12,11
Manchester Mayhem 2024,2024-05-11,Rebel Ultimate,Contested 1,15,6
Manchester Mayhem 2024,2024-05-11,Rebel Ultimate,Heck,13,8
Manchester Mayhem 2024,2024-05-11,Rebel Ultimate,Sheffield Steal,12,9
Manchester Mayhem 2024,2024-05-11,Sheffield Steal,Contested 1,15,10
Manchester Mayhem 2024,2024-05-11,Sheffield Steal,Heck,12,9
Manchester Mayhem 2024,2024-05-11,Tribe,Flyght Mixed,13,6
Manchester Mayhem 2024,2024-05-11,Tribe,GUXYZ,14,9
Manchester Mayhem 2024,2024-05-11,Tribe,Newcastle Brown,15,4
Moooxed 2024,2024-05-11,BN1,Brixton,15,3
Moooxed 2024,2024-05-11,BN1,SOLENT Blue,15,5
Moooxed 2024,2024-05-11,BN1,Thundering Herd 2,15,8
Moooxed 2024,2024-05-11,Bristol Mixed,Zoo,14,5
Moooxed 2024,2024-05-11,SOLENT Blue,Brixton,10,6
Moooxed 2024,2024-05-11,SOLENT Blue,Thundering Herd 2,14,8
Moooxed 2024,2024-05-11,SOLENT White,Bristol Mixed,15,9
Moooxed 2024,2024-05-11,SOLENT White,Zoo,15,5
Moooxed 2024,2024-05-11,Thundering Herd 1,Bristol Mixed,15,2
Moooxed 2024,2024-05-11,Thundering Herd 1,SOLENT White,14,6
Moooxed 2024,2024-05-11,Thundering Herd 1,Zoo,15,6
Moooxed 2024,2024-05-11,Thundering Herd 2,Brixton,10,9
Manchester Mayhem 2024,2024-05-12,Big Fish Little Fish,GUXYZ,11,9
Manchester Mayhem 2024,2024-05-12,Black Sheep's Back,Black Sheep's Front,15,12
Manchester Mayhem 2024,2024-05-12,Black Sheep's Back,Red,11,10
Manchester Mayhem 2024,2024-05-12,Black Sheep's Front,Curve,15,5
Manchester Mayhem 2024,2024-05-12,Contested 1,Big Fish Little Fish,13,9
Manchester Mayhem 2024,2024-05-12,Contested 1,Muntjacs Ultimate,13,9
Manchester Mayhem 2024,2024-05-12,GUXYZ,Muntjacs Ultimate,11,10
Manchester Mayhem 2024,2024-05-12,Heck,Contested 1,10,7
Manchester Mayhem 2024,2024-05-12,Heck,LLLeeds Mixed,13,12
Manchester Mayhem 2024,2024-05-12,Heck,Newcastle Brown,15,4
Manchester Mayhem 2024,2024-05-12,LLLeeds Mixed,GUXYZ,11,9
Manchester Mayhem 2024,2024-05-12,LLLeeds Mixed,Mamak Ultimate,12,6
Manchester Mayhem 2024,2024-05-12,Muntjacs Ultimate,Mamak Ultimate,13,3
Manchester Mayhem 2024,2024-05-12,Newcastle Brown,Big Fish Little Fish,13,10
Manchester Mayhem 2024,2024-05-12,Newcastle Brown,Mamak Ultimate,9,8
Manchester Mayhem 2024,2024-05-12,Rebel Ultimate,Flyght Mixed,15,12
Manchester Mayhem 2024,2024-05-12,Rebel Ultimate,Sheffield Steal,15,12
Manchester Mayhem 2024,2024-05-12,Red,Curve,15,5
Manchester Mayhem 2024,2024-05-12,Sheffield Steal,Tribe,15,10
Manchester Mayhem 2024,2024-05-12,Tribe,Flyght Mixed,15,12
Moooxed 2024,2024-05-12,BN1,SOLENT White,15,7
Moooxed 2024,2024-05-12,BN1,Thundering Herd 1,15,7
Moooxed 2024,2024-05-12,Bristol Mixed,Brixton,12,11
Moooxed 2024,2024-05-12,Bristol Mixed,Thundering Herd 2,15,14
Moooxed 2024,2024-05-12,Brixton,Zoo,15,7
Moooxed 2024,2024-05-12,SOLENT Blue,SOLENT White,15,8
Moooxed 2024,2024-05-12,Thundering Herd 1,SOLENT Blue,15,8
Moooxed 2024,2024-05-12,Thundering Herd 2,Zoo,12,8
