Tournament,Date,Team_1,Team_2,Score_1,Score_2,Division
Mixed Imperial 2024,2024-03-23,Contested 1st,Black Sheep,15,6,mixed
Mixed Imperial 2024,2024-03-23,Reading,Muntjacs Ultimate,6,12,mixed
Mixed Imperial 2024,2024-03-23,Sheffield Steal,Curve,9,5,mixed
Mixed Imperial 2024,2024-03-23,Flyght Mixed,Mamak,14,3,mixed
Mixed Imperial 2024,2024-03-23,Lemmings 1,BN1,10,9,mixed
Mixed Imperial 2024,2024-03-23,Bristol Mixed,SOLENT Blue,7,8,mixed
Mixed Imperial 2024,2024-03-23,Cambridge Ultimate,Brixton,6,13,mixed
Mixed Imperial 2024,2024-03-23,GB Mixed Red,Thundering Herd 1,15,5,mixed
Mixed Imperial 2024,2024-03-23,Deep Space,Lemmings 2,13,6,mixed
Mixed Imperial 2024,2024-03-23,GB Mixed Blue,Oxford Ultimate,15,4,mixed
Mixed Imperial 2024,2024-03-24,BN1,SOLENT Blue,11,3,mixed
Mixed Imperial 2024,2024-03-24,Lemmings 2,SOLENT White,13,6,mixed
Mixed Imperial 2024,2024-03-24,Oxford Ultimate,Sheffield Steal,6,13,mixed
Mixed Imperial 2024,2024-03-24,Thundering Herd 1,Contested 1st,12,13,mixed
Mixed Imperial 2024,2024-03-24,LLLeeds Mixed 1,Brixton,8,7,mixed
Mixed Imperial 2024,2024-03-24,Flyght Mixed,Reading,10,2,mixed
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Bermondsey Bombers,10,9,mixed
Mixed Imperial 2024,2024-03-24,Muntjacs Ultimate,Curve,7,9,mixed
Mixed Imperial 2024,2024-03-24,GB Mixed Blue,Deep Space,15,5,mixed
Mixed Imperial 2024,2024-03-24,GB Mixed Red,Lemmings 1,15,11,mixed
Mixed Imperial 2024,2024-03-24,Cambridge Ultimate,Black Sheep,11,10,mixed
Mixed Imperial 2024,2024-03-24,Zoo 1,Mamak,3,11,mixed
Mixed Imperial 2024,2024-03-24,Reading,Brixton,12,5,mixed
Mixed Imperial 2024,2024-03-24,LLLeeds Mixed 1,Flyght Mixed,5,12,mixed
Mixed Imperial 2024,2024-03-24,Muntjacs Ultimate,Bermondsey Bombers,5,12,mixed
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Curve,12,9,mixed
Mixed Imperial 2024,2024-03-24,BN1,Contested 1st,11,5,mixed
Mixed Imperial 2024,2024-03-24,Thundering Herd 1,SOLENT Blue,10,9,mixed
Mixed Imperial 2024,2024-03-24,Oxford Ultimate,SOLENT White,10,11,mixed
Mixed Imperial 2024,2024-03-24,Lemmings 2,Sheffield Steal,15,7,mixed
Mixed Imperial 2024,2024-03-24,GB Mixed Red,GB Mixed Blue,14,15,mixed
Mixed Imperial 2024,2024-03-24,Deep Space,Lemmings 1,15,11,mixed
Mixed Imperial 2024,2024-03-24,Cambridge Ultimate,Mamak,15,8,mixed
Mixed Imperial 2024,2024-03-24,Zoo 1,Black Sheep,2,15,mixed
Mixed Imperial 2024,2024-03-24,Bristol Mixed,Flyght Mixed,12,7,mixed
Mixed Imperial 2024,2024-03-24,Brixton,Muntjacs Ultimate,12,4,mixed
Mixed Imperial 2024,2024-03-24,Bermondsey Bombers,Reading,11,5,mixed
Mixed Imperial 2024,2024-03-24,LLLeeds Mixed 1,Curve,4,11,mixed
Mixed Imperial 2024,2024-03-24,BN1,Lemmings 2,8,13,mixed
Mixed Imperial 2024,2024-03-24,Sheffield Steal,Contested 1st,14,9,mixed
Mixed Imperial 2024,2024-03-24,Thundering Herd 1,SOLENT White,15,7,mixed
Mixed Imperial 2024,2024-03-24,Oxford Ultimate,SOLENT Blue,6,13,mixed
Uni Fans 2024,2024-04-13,Newcastle Brown,Zoo,10,7,mixed
Uni Fans 2024,2024-04-13,Big Fish Little Fish,Black Sheep,10,8,mixed
Uni Fans 2024,2024-04-13,Contested 1,Flyght Mixed,8,9,mixed
Uni Fans 2024,2024-04-13,Lemmings 1,SOLENT,13,4,mixed
Uni Fans 2024,2024-04-13,Brixton,Flyght Mixed 2,8,7,mixed
Uni Fans 2024,2024-04-13,Thundering Herd 1,Bristol Mixed,13,7,mixed
Uni Fans 2024,2024-04-13,Sheffield Steal,Heck,8,9,mixed
Uni Fans 2024,2024-04-13,LLLeeds,Thundering Herd 2,4,8,mixed
Uni Fans 2024,2024-04-13,Big Fish Little Fish,Newcastle Brown,6,10,mixed
Uni Fans 2024,2024-04-13,Lemmings 1,Flyght Mixed,12,7,mixed
Uni Fans 2024,2024-04-13,Contested 1,SOLENT,5,9,mixed
Uni Fans 2024,2024-04-13,Black Sheep,Zoo,10,4,mixed
Uni Fans 2024,2024-04-13,Sheffield Steal,Bristol Mixed,5,11,mixed
Uni Fans 2024,2024-04-13,LLLeeds,Brixton,8,4,mixed
Uni Fans 2024,2024-04-13,Thundering Herd 2,Flyght Mixed 2,4,7,mixed
Uni Fans 2024,2024-04-13,Thundering Herd 1,Heck,6,7,mixed
Uni Fans 2024,2024-04-13,Big Fish Little Fish,Zoo,8,3,mixed
Uni Fans 2024,2024-04-13,Lemmings 1,Contested 1,13,5,mixed
Uni Fans 2024,2024-04-13,SOLENT,Flyght Mixed,9,10,mixed
Uni Fans 2024,2024-04-13,Newcastle Brown,Black Sheep,12,7,mixed
Uni Fans 2024,2024-04-13,Sheffield Steal,Thundering Herd 1,7,10,mixed
Uni Fans 2024,2024-04-13,LLLeeds,Flyght Mixed 2,5,8,mixed
Uni Fans 2024,2024-04-13,Brixton,Thundering Herd 2,9,5,mixed
Uni Fans 2024,2024-04-13,Heck,Bristol Mixed,7,5,mixed
Uni Fans 2024,2024-04-14,Black Sheep,LLLeeds,11,15,mixed
Uni Fans 2024,2024-04-14,Thundering Herd 2,Zoo,11,7,mixed
Uni Fans 2024,2024-04-14,Lemmings 1,Thundering Herd 1,12,11,mixed
Uni Fans 2024,2024-04-14,Heck,Flyght Mixed,7,12,mixed
Uni Fans 2024,2024-04-14,SOLENT,Flyght Mixed 2,9,8,mixed
Uni Fans 2024,2024-04-14,Contested 1,Brixton,9,10,mixed
Uni Fans 2024,2024-04-14,Bristol Mixed,Big Fish Little Fish,12,4,mixed
Uni Fans 2024,2024-04-14,Sheffield Steal,Newcastle Brown,8,7,mixed
Uni Fans 2024,2024-04-14,LLLeeds,Thundering Herd 2,8,7,mixed
Uni Fans 2024,2024-04-14,Zoo,Black Sheep,12,10,mixed
Uni Fans 2024,2024-04-14,Contested 1,Big Fish Little Fish,9,8,mixed
Uni Fans 2024,2024-04-14,Bristol Mixed,Brixton,13,4,mixed
Uni Fans 2024,2024-04-14,SOLENT,Sheffield Steal,9,6,mixed
Uni Fans 2024,2024-04-14,Newcastle Brown,Flyght Mixed 2,10,7,mixed
Uni Fans 2024,2024-04-14,Lemmings 1,Flyght Mixed,10,8,mixed
Uni Fans 2024,2024-04-14,Heck,Thundering Herd 1,8,13,mixed
Uni Fans 2024,2024-04-14,Bristol Mixed,SOLENT,9,12,mixed
Uni Fans 2024,2024-04-14,Contested 1,Newcastle Brown,10,11,mixed
Uni Fans 2024,2024-04-14,Flyght Mixed 2,Big Fish Little Fish,9,8,mixed
Uni Fans 2024,2024-04-14,Sheffield Steal,Brixton,6,8,mixed
Spring Startup 2024,2024-04-20,Brixton,Kestrels,12,6,women
Spring Startup 2024,2024-04-20,GB U20,Chameleons,13,2,women
Spring Startup 2024,2024-04-20,GB U20,Kestrels,11,9,women
Spring Startup 2024,2024-04-20,Brixton,Chameleons,11,8,women
Spring Startup 2024,2024-04-20,GB U20,Brixton,13,7,women
Spring Startup 2024,2024-04-20,Chameleons,Kestrels,6,12,women
Spring Startup 2024,2024-04-20,SOLENT 2,Brixton,13,7,open
Spring Startup 2024,2024-04-20,Brighton Ultimate,Zimmer,5,13,open
Spring Startup 2024,2024-04-20,Reading 1,SOLENT 1,9,14,open
Spring Startup 2024,2024-04-20,Bristol Open,Fire of London,13,5,open
Spring Startup 2024,2024-03-23,Devon,Manchester Ultimate,9,13,open
Spring Startup 2024,2024-03-23,Ka-Pow!,Lemmings 1,10,13,open
Spring Startup 2024,2024-04-20,SOLENT 2,Bristol Open 2,8,9,open
Spring Startup 2024,2024-04-20,Brighton Ultimate,Brixton,3,12,open
Spring Startup 2024,2024-04-20,Cambridge Ultimate,DED,15,13,open
Spring Startup 2024,2024-04-20,LLLeeds 1,Brizzle,15,5,open
Spring Startup 2024,2024-04-20,Ka-Pow!,Devon,15,6,open
Spring Startup 2024,2024-04-20,Lemmings 1,Manchester Ultimate,15,6,open
Spring Startup 2024,2024-04-20,Zimmer,Bristol Open 2,11,10,open
Spring Startup 2024,2024-04-20,LLLeeds 1,Cambridge Ultimate,13,12,open
Spring Startup 2024,2024-04-20,Brizzle,DED,13,15,open
Spring Startup 2024,2024-04-20,Bristol Open,SOLENT 1,10,11,open
Spring Startup 2024,2024-04-20,Reading 1,Fire of London,15,9,open
Spring Startup 2024,2024-04-20,Brighton Ultimate,SOLENT 2,0,13,open
Spring Startup 2024,2024-04-20,Ka-Pow!,Manchester Ultimate,15,7,open
Spring Startup 2024,2024-04-20,Devon,Lemmings 1,6,15,open
Spring Startup 2024,2024-04-20,Bristol Open,Reading 1,15,10,open
Spring Startup 2024,2024-04-20,Fire of London,SOLENT 1,9,11,open
Spring Startup 2024,2024-04-20,Brighton Ultimate,Bristol Open 2,3,13,open
Spring Startup 2024,2024-04-20,Zimmer,Brixton,11,9,open
Spring Startup 2024,2024-04-20,LLLeeds 1,DED,15,8,open
Spring Startup 2024,2024-04-20,Cambridge Ultimate,Brizzle,15,10,open
Spring Startup 2024,2024-04-20,Bristol Open 2,Brixton,12,5,open
Spring Startup 2024,2024-04-20,SOLENT 2,Zimmer,11,8,open
Spring Startup 2024,2024-04-21,DED,Brighton Ultimate,9,5,open
Spring Startup 2024,2024-04-21,Zimmer,Brizzle,10,11,open
Spring Startup 2024,2024-04-21,Devon,SOLENT 2,9,11,open
Spring Startup 2024,2024-04-21,Reading 1,Cambridge Ultimate,14,12,open
Spring Startup 2024,2024-04-21,Manchester Ultimate,Bristol Open 2,11,15,open
Spring Startup 2024,2024-04-21,Fire of London,LLLeeds 1,8,12,open
Spring Startup 2024,2024-04-21,DED,Brixton,7,11,open
Spring Startup 2024,2024-04-21,Zimmer,Brighton Ultimate,13,3,open
Spring Startup 2024,2024-04-21,SOLENT 1,Ka-Pow!,12,15,open
Spring Startup 2024,2024-04-21,Lemmings 1,Bristol Open,15,10,open
Spring Startup 2024,2024-04-21,Devon,Cambridge Ultimate,7,12,open
Spring Startup 2024,2024-04-21,Fire of London,Manchester Ultimate,9,8,open
Spring Startup 2024,2024-04-21,Brizzle,Brixton,9,8,open
Spring Startup 2024,2024-04-21,Bristol Open 2,LLLeeds 1,9,15,open
Spring Startup 2024,2024-04-21,Reading 1,SOLENT 2,15,7,open
Spring Startup 2024,2024-04-21,Zimmer,DED,8,13,open
Spring Startup 2024,2024-04-21,Ka-Pow!,Lemmings 1,10,15,open
Spring Startup 2024,2024-04-21,Bristol Open,SOLENT 1,14,15,open
Spring Startup 2024,2024-04-21,Fire of London,Cambridge Ultimate,15,8,open
Spring Startup 2024,2024-04-21,Devon,Manchester Ultimate,10,12,open
Spring Startup 2024,2024-04-21,Brixton,Brighton Ultimate,11,4,open
Spring Startup 2024,2024-04-21,DED,Brizzle,13,8,open
Spring Startup 2024,2024-04-21,LLLeeds 1,Reading 1,10,15,open
Spring Startup 2024,2024-04-21,SOLENT 2,Bristol Open 2,5,15,open
Spring Startup 2024,2024-04-21,Zimmer,Brixton,11,6,open
Spring Startup 2024,2024-04-21,Brizzle,Brighton Ultimate,13,5,open
Manchester Mayhem 2024,2024-05-11,Red,Black Sheep's Front,7,14,mixed
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Muntjacs Ultimate,13,11,mixed
Manchester Mayhem 2024,2024-05-11,Tribe,GUXYZ,14,9,mixed
Manchester Mayhem 2024,2024-05-11,Flyght Mixed,Newcastle Brown,13,12,mixed
Manchester Mayhem 2024,2024-05-11,Muntjacs Ultimate,Black Sheep's Front,12,8,mixed
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Red,15,5,mixed
Manchester Mayhem 2024,2024-05-11,Big Fish Little Fish,Mamak Ultimate,13,9,mixed
Manchester Mayhem 2024,2024-05-11,Curve,Black Sheep's Back,6,14,mixed
Manchester Mayhem 2024,2024-05-11,Rebel Ultimate,Contested 1,15,6,mixed
Manchester Mayhem 2024,2024-05-11,Heck,Sheffield Steal,9,12,mixed
Manchester Mayhem 2024,2024-05-11,Flyght Mixed,GUXYZ,13,12,mixed
Manchester Mayhem 2024,2024-05-11,Tribe,Newcastle Brown,15,4,mixed
Manchester Mayhem 2024,2024-05-11,Curve,Big Fish Little Fish,3,14,mixed
Manchester Mayhem 2024,2024-05-11,Black Sheep's Back,Mamak Ultimate,9,12,mixed
Manchester Mayhem 2024,2024-05-11,Heck,Rebel Ultimate,8,13,mixed
Manchester Mayhem 2024,2024-05-11,Sheffield Steal,Contested 1,15,10,mixed
Manchester Mayhem 2024,2024-05-11,Flyght Mixed,Tribe,6,13,mixed
Manchester Mayhem 2024,2024-05-11,Newcastle Brown,GUXYZ,12,11,mixed
Manchester Mayhem 2024,2024-05-11,LLLeeds Mixed,Black Sheep's Front,13,10,mixed
Manchester Mayhem 2024,2024-05-11,Red,Muntjacs Ultimate,3,10,mixed
Manchester Mayhem 2024,2024-05-11,Curve,Mamak Ultimate,9,12,mixed
Manchester Mayhem 2024,2024-05-11,Big Fish Little Fish,Black Sheep's Back,15,6,mixed
Manchester Mayhem 2024,2024-05-11,Heck,Contested 1,10,12,mixed
Manchester Mayhem 2024,2024-05-11,Rebel Ultimate,Sheffield Steal,12,9,mixed
Manchester Mayhem 2024,2024-05-12,Heck,LLLeeds Mixed,13,12,mixed
Manchester Mayhem 2024,2024-05-12,GUXYZ,Big Fish Little Fish,9,11,mixed
Manchester Mayhem 2024,2024-05-12,Newcastle Brown,Mamak Ultimate,9,8,mixed
Manchester Mayhem 2024,2024-05-12,Contested 1,Muntjacs Ultimate,13,9,mixed
Manchester Mayhem 2024,2024-05-12,Black Sheep's Front,Curve,15,5,mixed
Manchester Mayhem 2024,2024-05-12,Black Sheep's Back,Red,11,10,mixed
Manchester Mayhem 2024,2024-05-12,LLLeeds Mixed,Mamak Ultimate,12,6,mixed
Manchester Mayhem 2024,2024-05-12,GUXYZ,Muntjacs Ultimate,11,10,mixed
Manchester Mayhem 2024,2024-05-12,Tribe,Sheffield Steal,10,15,mixed
Manchester Mayhem 2024,2024-05-12,Rebel Ultimate,Flyght Mixed,15,12,mixed
Manchester Mayhem 2024,2024-05-12,Contested 1,Big Fish Little Fish,13,9,mixed
Manchester Mayhem 2024,2024-05-12,Newcastle Brown,Heck,4,15,mixed
Manchester Mayhem 2024,2024-05-12,Black Sheep's Front,Black Sheep's Back,12,15,mixed
Manchester Mayhem 2024,2024-05-12,Red,Curve,15,5,mixed
Manchester Mayhem 2024,2024-05-12,Contested 1,Heck,7,10,mixed
Manchester Mayhem 2024,2024-05-12,Newcastle Brown,Big Fish Little Fish,13,10,mixed
Manchester Mayhem 2024,2024-05-12,Sheffield Steal,Rebel Ultimate,12,15,mixed
Manchester Mayhem 2024,2024-05-12,Flyght Mixed,Tribe,12,15,mixed
Manchester Mayhem 2024,2024-05-12,GUXYZ,LLLeeds Mixed,9,11,mixed
Manchester Mayhem 2024,2024-05-12,Mamak Ultimate,Muntjacs Ultimate,3,13,mixed
Moooxed 2024,2024-05-11,SOLENT White,Zoo,15,5,mixed
Moooxed 2024,2024-05-11,Thundering Herd 1,Bristol Mixed,15,2,mixed
Moooxed 2024,2024-05-11,SOLENT Blue,Thundering Herd 2,14,8,mixed
Moooxed 2024,2024-05-11,BN1,Brixton,15,3,mixed
Moooxed 2024,2024-05-11,Bristol Mixed,Zoo,14,5,mixed
Moooxed 2024,2024-05-11,Thundering Herd 1,SOLENT White,14,6,mixed
Moooxed 2024,2024-05-11,BN1,SOLENT Blue,15,5,mixed
Moooxed 2024,2024-05-11,Brixton,Thundering Herd 2,9,10,mixed
Moooxed 2024,2024-05-11,BN1,Thundering Herd 2,15,8,mixed
Moooxed 2024,2024-05-11,SOLENT Blue,Brixton,10,6,mixed
Moooxed 2024,2024-05-11,SOLENT White,Bristol Mixed,15,9,mixed
Moooxed 2024,2024-05-11,Thundering Herd 1,Zoo,15,6,mixed
Moooxed 2024,2024-05-12,Bristol Mixed,Brixton,12,11,mixed
Moooxed 2024,2024-05-12,Thundering Herd 2,Zoo,12,8,mixed
Moooxed 2024,2024-05-12,BN1,SOLENT White,15,7,mixed
Moooxed 2024,2024-05-12,Thundering Herd 1,SOLENT Blue,15,8,mixed
Moooxed 2024,2024-05-12,BN1,Thundering Herd 1,15,7,mixed
Moooxed 2024,2024-05-12,SOLENT Blue,SOLENT White,15,8,mixed
Moooxed 2024,2024-05-12,Bristol Mixed,Thundering Herd 2,15,14,mixed
Moooxed 2024,2024-05-12,Zoo,Brixton,7,15,mixed
